#separator:tab
#html:true
"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-cloze=""position"" data-ordinal=""1"">[...]</span> &amp; <span class=""cloze"" data-cloze=""momentum"" data-ordinal=""1"">[...]</span> simultaneously."	"<span class=""cloze-inactive"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze"" data-ordinal=""1"">position</span> &amp; <span class=""cloze"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;Heisenberg&#x20;uncertainty&#x20;principle&lt;&#x2F;b&gt;"" data-ordinal=""2"">[...]</span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze-inactive"" data-ordinal=""1"">position</span> &amp; <span class=""cloze-inactive"" data-ordinal=""1"">momentum</span> simultaneously."	"<span class=""cloze"" data-ordinal=""2""><b style="""">Heisenberg uncertainty principle</b></span> says we <u style="""">cannot</u>&nbsp;know a particle's <span class=""cloze-inactive"" data-ordinal=""1"">position</span> &amp; <span class=""cloze-inactive"" data-ordinal=""1"">momentum</span> simultaneously.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>Because of this, we can only describe an electron's location with a probability function.</div><div><br></div><img src=""paste-9190c35526462964b8b8543d1a3d19d78b43b2d4.jpg""></div>"
"Avogadro's number is <span class=""cloze"" data-cloze=""6&#x20;x&#x20;10&lt;sup&#x20;style&#x3D;&quot;&quot;&gt;23&lt;&#x2F;sup&gt;"" data-ordinal=""1"">[#]</span> - representing the number of <span class=""cloze-inactive"" data-ordinal=""2"">molecules in 1 mole</span> of something."	"Avogadro's number is <span class=""cloze"" data-ordinal=""1"">6 x 10<sup style="""">23</sup></span> - representing the number of <span class=""cloze-inactive"" data-ordinal=""2"">molecules in 1 mole</span> of something.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"The concept of <span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;1&#x20;mole&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> was&nbsp;based on the amount of <span class=""cloze-inactive"" data-ordinal=""2"">carbon-12 molecules</span> in a <span class=""cloze-inactive"" data-ordinal=""2""><u style="""">12 gram</u></span> sample."	"The concept of <span class=""cloze"" data-ordinal=""1""><b style="""">1 mole</b></span> was&nbsp;based on the amount of <span class=""cloze-inactive"" data-ordinal=""2"">carbon-12 molecules</span> in a <span class=""cloze-inactive"" data-ordinal=""2""><u style="""">12 gram</u></span> sample.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"The concept of <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">1 mole</b></span> was&nbsp;based on the amount of <span class=""cloze"" data-cloze=""carbon&#x2D;12&#x20;molecules"" data-ordinal=""2"">[...]</span> in a <span class=""cloze"" data-cloze=""&lt;u&#x20;style&#x3D;&quot;&quot;&gt;12&#x20;gram&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span> sample."	"The concept of <span class=""cloze-inactive"" data-ordinal=""1""><b style="""">1 mole</b></span> was&nbsp;based on the amount of <span class=""cloze"" data-ordinal=""2"">carbon-12 molecules</span> in a <span class=""cloze"" data-ordinal=""2""><u style="""">12 gram</u></span> sample.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 meter</span> = <span class=""cloze"" data-cloze=""1&#x2E;1"" data-ordinal=""1"">[...]</span> yards"	"<span class=""cloze-inactive"" data-ordinal=""2"">1 meter</span> = <span class=""cloze"" data-ordinal=""1"">1.1</span> yards
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""1&#x20;meter"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">1.1</span> yards"	"<span class=""cloze"" data-ordinal=""2"">1 meter</span> = <span class=""cloze-inactive"" data-ordinal=""1"">1.1</span> yards
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 inch</span> = <span class=""cloze"" data-cloze=""2&#x2E;54"" data-ordinal=""1"">[...]</span> centimeters"	"<span class=""cloze-inactive"" data-ordinal=""2"">1 inch</span> = <span class=""cloze"" data-ordinal=""1"">2.54</span> centimeters
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""1&#x20;inch"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">2.54</span> centimeters"	"<span class=""cloze"" data-ordinal=""2"">1 inch</span> = <span class=""cloze-inactive"" data-ordinal=""1"">2.54</span> centimeters
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze-inactive"" data-ordinal=""2"">1 mile</span> = <span class=""cloze"" data-cloze=""1&#x2E;6"" data-ordinal=""1"">[...]</span> kilometers"	"<span class=""cloze-inactive"" data-ordinal=""2"">1 mile</span> = <span class=""cloze"" data-ordinal=""1"">1.6</span> kilometers
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""1&#x20;mile"" data-ordinal=""2"">[...]</span> = <span class=""cloze-inactive"" data-ordinal=""1"">1.6</span> kilometers"	"<span class=""cloze"" data-ordinal=""2"">1 mile</span> = <span class=""cloze-inactive"" data-ordinal=""1"">1.6</span> kilometers
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
