#separator:tab
#html:true
"<div><span class=""cloze"" data-cloze=""750"" data-ordinal=""1"">[#]</span> Watts are in 1 <span class=""cloze-inactive"" data-ordinal=""2"">horsepower</span>.<br></div>"	"<div><span class=""cloze"" data-ordinal=""1"">750</span> Watts are in 1 <span class=""cloze-inactive"" data-ordinal=""2"">horsepower</span>.<br></div>
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<div>What are the <b>two mechanics equations</b> that relate velocity, position, and acceleration? (x2)</div><div><br></div><span class=""cloze"" data-cloze=""X&lt;sub&gt;f&lt;&#x2F;sub&gt;&#x20;&#x3D;&#x20;X&lt;sub&gt;i&lt;&#x2F;sub&gt;&#x20;&#x2B;&#x20;V&lt;sub&gt;i&lt;&#x2F;sub&gt;&#x28;t&#x29;&#x20;&#x2B;&#x20;&#x28;1&#x2F;2&#x29;a&#x28;t&#x29;&lt;sup&gt;2&lt;&#x2F;sup&gt;&lt;div&gt;Vf&lt;sup&gt;2&lt;&#x2F;sup&gt;&#x20;&#x3D;&#x20;Vi&lt;sup&gt;2&lt;&#x2F;sup&gt;&#x20;&#x2B;&#x20;2a&#x28;X&lt;sub&gt;f&lt;&#x2F;sub&gt;&#x20;&#x2D;&#x20;X&lt;sub&gt;i&lt;&#x2F;sub&gt;&#x29;&lt;&#x2F;div&gt;"" data-ordinal=""1"">[...]</span><br>"	"<div>What are the <b>two mechanics equations</b> that relate velocity, position, and acceleration? (x2)</div><div><br></div><span class=""cloze"" data-ordinal=""1"">X<sub>f</sub> = X<sub>i</sub> + V<sub>i</sub>(t) + (1/2)a(t)<sup>2</sup><div>Vf<sup>2</sup> = Vi<sup>2</sup> + 2a(X<sub>f</sub> - X<sub>i</sub>)</div></span><br>
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<u style="""">Frequency (f)</u> &amp; <u style="""">period (T)</u> are <span class=""cloze"" data-cloze=""&lt;i&gt;inversely&lt;&#x2F;i&gt;"" data-ordinal=""1"">[...]</span> related."	"<u style="""">Frequency (f)</u> &amp; <u style="""">period (T)</u> are <span class=""cloze"" data-ordinal=""1""><i>inversely</i></span> related.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""f6c09c88dab907cebb86ce9b7b26c3c6.png""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;Frequency&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> represents the <span class=""cloze-inactive"" data-ordinal=""2"">number of cycles</span> per unit time."	"<span class=""cloze"" data-ordinal=""1""><b style="""">Frequency</b></span> represents the <span class=""cloze-inactive"" data-ordinal=""2"">number of cycles</span> per unit time.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>...<i>how many times</i> it cycles in 1 second or 2 seconds.</div><div><br></div><img src=""f6c09c88dab907cebb86ce9b7b26c3c6.png""></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b style="""">Frequency</b></span> represents the <span class=""cloze"" data-cloze=""number&#x20;of&#x20;cycles"" data-ordinal=""2"">[...]</span> per unit time."	"<span class=""cloze-inactive"" data-ordinal=""1""><b style="""">Frequency</b></span> represents the <span class=""cloze"" data-ordinal=""2"">number of cycles</span> per unit time.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>...<i>how many times</i> it cycles in 1 second or 2 seconds.</div><div><br></div><img src=""f6c09c88dab907cebb86ce9b7b26c3c6.png""></div>"
"<span class=""cloze"" data-cloze=""&lt;b&#x20;style&#x3D;&quot;&quot;&gt;Period&#x20;&#x28;T&#x29;&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> represents the <span class=""cloze-inactive"" data-ordinal=""2""><u>amount of time</u>&nbsp;to complete <i>1 cycle</i></span> in simple harmonic motion."	"<span class=""cloze"" data-ordinal=""1""><b style="""">Period (T)</b></span> represents the <span class=""cloze-inactive"" data-ordinal=""2""><u>amount of time</u>&nbsp;to complete <i>1 cycle</i></span> in simple harmonic motion.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>...<i>how quickly</i> it completes one cycle.</div><div><br></div><div><img src=""f6c09c88dab907cebb86ce9b7b26c3c6.png""><br></div></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b style="""">Period (T)</b></span> represents the <span class=""cloze"" data-cloze=""&lt;u&gt;amount&#x20;of&#x20;time&lt;&#x2F;u&gt;&amp;nbsp&#x3B;to&#x20;complete&#x20;&lt;i&gt;1&#x20;cycle&lt;&#x2F;i&gt;"" data-ordinal=""2"">[...]</span> in simple harmonic motion."	"<span class=""cloze-inactive"" data-ordinal=""1""><b style="""">Period (T)</b></span> represents the <span class=""cloze"" data-ordinal=""2""><u>amount of time</u>&nbsp;to complete <i>1 cycle</i></span> in simple harmonic motion.
<hr>

<div style=""font-style:italic;color:gray;"">

<div>...<i>how quickly</i> it completes one cycle.</div><div><br></div><div><img src=""f6c09c88dab907cebb86ce9b7b26c3c6.png""><br></div></div>"
"The units for&nbsp;<b style="""">angular frequency</b>&nbsp;are <span class=""cloze"" data-cloze=""rad&#x2F;s"" data-ordinal=""1"">[...]</span>."	"The units for&nbsp;<b style="""">angular frequency</b>&nbsp;are <span class=""cloze"" data-ordinal=""1"">rad/s</span>.
<hr>

<div style=""font-style:italic;color:gray;"">

</div>"
"<span class=""cloze"" data-cloze=""&lt;b&gt;Amplitude&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> is the <span class=""cloze-inactive"" data-ordinal=""2""><i>maximum&nbsp;</i>distance</span> the object is pulled <i>away</i> from its <span class=""cloze-inactive"" data-ordinal=""2""><u style="""">equilibrium point</u></span>."	"<span class=""cloze"" data-ordinal=""1""><b>Amplitude</b></span> is the <span class=""cloze-inactive"" data-ordinal=""2""><i>maximum&nbsp;</i>distance</span> the object is pulled <i>away</i> from its <span class=""cloze-inactive"" data-ordinal=""2""><u style="""">equilibrium point</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""65f165780d7c58462477654bb37f174d.png""></div>"
"<span class=""cloze-inactive"" data-ordinal=""1""><b>Amplitude</b></span> is the <span class=""cloze"" data-cloze=""&lt;i&gt;maximum&amp;nbsp&#x3B;&lt;&#x2F;i&gt;distance"" data-ordinal=""2"">[...]</span> the object is pulled <i>away</i> from its <span class=""cloze"" data-cloze=""&lt;u&#x20;style&#x3D;&quot;&quot;&gt;equilibrium&#x20;point&lt;&#x2F;u&gt;"" data-ordinal=""2"">[...]</span>."	"<span class=""cloze-inactive"" data-ordinal=""1""><b>Amplitude</b></span> is the <span class=""cloze"" data-ordinal=""2""><i>maximum&nbsp;</i>distance</span> the object is pulled <i>away</i> from its <span class=""cloze"" data-ordinal=""2""><u style="""">equilibrium point</u></span>.
<hr>

<div style=""font-style:italic;color:gray;"">

<img src=""65f165780d7c58462477654bb37f174d.png""></div>"
"<b style="""">Mass</b> and <b style="""">frequency </b>of an oscillating object are <span class=""cloze"" data-cloze=""&lt;i&gt;inversely&lt;&#x2F;i&gt;"" data-ordinal=""1"">[...]</span> related."	"<b style="""">Mass</b> and <b style="""">frequency </b>of an oscillating object are <span class=""cloze"" data-ordinal=""1""><i>inversely</i></span> related.
<hr>

<div style=""font-style:italic;color:gray;"">

The heavier it is, the <i>less </i>cycles it'll make in 1 sec.</div>"
